ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:59:38,981---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---Initializing  data ingestion pipeline steps
data_ingestion.py----data_ingestion---2024-09-18 04:59:38,982---INFO---ingest_data---Hate_classification.LOGGERS.logging---initialized Reading CSV from { self.path} 
data_ingestion.py----data_ingestion---2024-09-18 04:59:38,982---INFO---ingest_data---Hate_classification.LOGGERS.logging---initialized Reading CSV from { self.path} 
ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:59:39,040---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---successfully finished data ingestion pipeline steps
ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:59:39,040---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---successfully finished data ingestion pipeline steps
__init__.py----__init__---2024-09-18 04:59:39,073---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,073---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,073---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,073---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,074---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,074---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,074---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:59:39,074---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
